,Skip,Loss,train-acc,test-acc,commd_round
0,0.0,0.6669943334783117,84.25166666666667,90.45,5210240000.0
1,10.0,0.329072894261529,90.69166666666668,92.05,10420480000.0
2,9.0,0.27920285016608737,92.04666666666667,92.80000000000001,15630720000.0
3,12.0,0.2481630927231163,92.95833333333333,93.52000000000001,20775832000.0
4,31.0,0.22374633325263857,93.68166666666666,94.07,25960020800.0
5,44.0,0.20374356136346858,94.27,94.54,31131184000.0
6,60.0,0.1870466295008858,94.69999999999999,94.87,36328398400.0
7,79.0,0.1727334981660048,95.16666666666667,95.39999999999999,41486536000.0
8,99.0,0.16041776355976858,95.46,95.52000000000001,46644673600.0
9,108.0,0.14955063769283394,95.815,95.58,51776760000.0
10,128.0,0.14005180311078827,96.11166666666666,96.00999999999999,56960948800.0
11,155.0,0.1319434825113664,96.29166666666666,96.24000000000001,62119086400.0
12,158.0,0.12427229407709092,96.59833333333333,96.5,67238147200.0
13,181.0,0.1176526865696845,96.8,96.41,72344182400.0
14,191.0,0.11138258698396385,96.98,96.71,77346012800.0
15,226.0,0.1060810473219802,97.17,96.76,82465073600.0
16,215.0,0.10102770009621356,97.31666666666666,96.85000000000001,87623211200.0
17,234.0,0.09643910972013449,97.48333333333333,96.99,92403606400.0
18,225.0,0.09209258039559548,97.56333333333333,97.1,97405436800.0
19,235.0,0.08818800676070775,97.69166666666666,97.15,102329113600.0
20,,,,,107252790400.0
21,,,,,112072262400.0
22,,,,,116995939200.0
23,,,,,121854488000.0
24,,,,,126726062400.0
25,,,,,131324099200.0
26,,,,,136195673600.0
27,,,,,140950017600.0
28,,,,,145743438400.0
29,,,,,150419628800.0
30,,,,,155278177600.0
31,,,,,159811086400.0
32,,,,,164383072000.0
33,,,,,168968083200.0
34,,,,,173500992000.0
35,,,,,177994824000.0
36,,,,,182540758400.0
37,,,,,187086692800.0
38,,,,,191567499200.0
39,,,,,195996203200.0
40,,,,,200516086400.0
41,,,,,204840585600.0
42,,,,,209334417600.0
43,,,,,213645891200.0
44,,,,,217983416000.0
45,,,,,222386068800.0
46,,,,,226502158400.0
47,,,,,230670350400.0
48,,,,,235046952000.0
49,,,,,239267246400.0
50,,,,,243500566400.0
51,,,,,247772963200.0
52,,,,,251967206400.0
53,,,,,256083296000.0
54,,,,,260251488000.0
55,,,,,264471782400.0
