,Skip,Loss,train-acc,test-acc
0,0.0,2.2546607999801638,23.150000000000002,27.95
1,0.0,2.02751647490263,28.144999999999996,41.07
2,0.0,1.9009915871421497,31.97,42.42
3,0.0,1.8059162412434817,35.0775,46.41
4,0.0,1.7298874739766121,37.644,46.01
5,0.0,1.303357674896717,53.2,54.37
6,0.0,1.255221936456859,54.910000000000004,60.66
7,0.0,1.220614769841234,56.30333333333334,65.17
8,0.0,1.1908045322187244,57.52,60.37
9,0.0,1.1630035845190287,58.48799999999999,68.8
10,0.0,0.9604502823352814,66.49000000000001,69.98
11,0.0,0.9491758888736367,66.9,59.63
12,0.0,0.9357484936639666,67.52,73.35
13,0.0,0.9193600696828216,67.9875,73.67
14,0.0,0.9014281348183751,68.66600000000001,74.31
15,0.0,0.7851771700084209,73.00999999999999,76.11
16,0.0,0.7746306166425347,73.24000000000001,73.43
17,1.0,0.7667963763643056,73.50666666666666,67.01
18,1.0,0.7582170511535369,73.75500000000001,60.55
19,2.0,0.7498396516334266,74.068,79.21
20,2.0,0.6921815953999758,76.64999999999999,77.45
21,2.0,0.6703635504283011,77.105,79.84
22,2.0,0.6651820834179719,77.16333333333333,78.72
23,3.0,0.658584784489125,77.3925,78.6
24,5.0,0.6536350778102875,77.616,78.99
25,5.0,0.5941822362020612,79.7,79.93
26,9.0,0.5943418531250209,79.59,81.69
27,10.0,0.5895544830349584,79.71666666666667,82.66
28,12.0,0.5846966667310335,79.99000000000001,81.48
29,17.0,0.5809368806224317,80.12599999999999,82.81
30,20.0,0.5170867781415581,82.24000000000001,83.16
31,23.0,0.5245226226523518,81.93,83.6
32,24.0,0.5267326744024953,81.97,82.44
33,25.0,0.5252075248230249,81.9375,84.43
34,28.0,0.5202327493838966,82.098,83.41
35,34.0,0.5021668796623125,82.6,81.99
36,38.0,0.4956784760132432,83.0,81.76
37,47.0,0.4878173966401567,83.25,82.08
38,55.0,0.48403099132375793,83.23,83.96
39,63.0,0.47862105078063905,83.43,83.01
40,71.0,0.43819846137799323,85.09,82.81
41,80.0,0.4385217312974855,84.92,82.94
42,94.0,0.4348187139672227,84.91333333333333,81.38
43,98.0,0.4377965934945969,84.875,82.48
44,113.0,0.43608125474220144,84.976,85.26
