,Skip,Loss,train-acc,test-acc,commd_round
0,929.0,0.7643672127649188,80.20166666666667,89.61,13935680.0
1,888.0,0.3375410026187698,90.16166666666666,91.81,23833920.0
2,891.0,0.2864740719397863,91.78500000000001,92.66,35295040.0
3,884.0,0.2535601707516859,92.735,93.47999999999999,48709760.0
4,925.0,0.2280531305447221,93.48833333333333,94.02000000000001,62905920.0
5,944.0,0.20477949892481168,94.375,94.62,75929920.0
6,947.0,0.1854336625741174,94.84333333333333,95.14,90126080.0
7,955.0,0.1702192853173862,95.32833333333333,95.50999999999999,103410560.0
8,948.0,0.15663747009821236,95.65666666666667,95.64,116174080.0
9,961.0,0.14578779243243237,95.97833333333334,95.96000000000001,129328320.0
10,960.0,0.1359834498881052,96.315,96.21,143915200.0
11,967.0,0.12752623323506365,96.545,96.31,157329920.0
12,982.0,0.12037610833222667,96.755,96.56,170353920.0
13,963.0,0.11275944704189897,97.015,96.63000000000001,182466240.0
14,964.0,0.10683020361311113,97.20166666666667,96.93,193145920.0
15,975.0,0.10103423162751521,97.33000000000001,96.96000000000001,204086080.0
16,973.0,0.09599320373497904,97.455,96.97,215286720.0
17,968.0,0.09132946099077041,97.62333333333333,97.13000000000001,226487360.0
18,991.0,0.08730986557124804,97.715,96.97,237167040.0
19,975.0,0.08407532171656688,97.82166666666666,97.27,248237440.0
20,,,,,259438080.0
21,,,,,270378240.0
22,,,,,280016000.0
23,,,,,291346880.0
24,,,,,301505600.0
25,,,,,311924800.0
26,,,,,324167360.0
27,,,,,334456320.0
28,,,,,344224320.0
29,,,,,355294720.0
30,,,,,365713920.0
31,,,,,376654080.0
32,,,,,386552320.0
33,,,,,396450560.0
34,,,,,406739520.0
35,,,,,416898240.0
36,,,,,426405760.0
37,,,,,435262080.0
38,,,,,445290560.0
39,,,,,455188800.0
40,,,,,465608000.0
41,,,,,476157440.0
42,,,,,485664960.0
43,,,,,496214400.0
44,,,,,506894080.0
45,,,,,517052800.0
46,,,,,527341760.0
47,,,,,536198080.0
48,,,,,545835840.0
49,,,,,555603840.0
50,,,,,565762560.0
51,,,,,576702720.0
