,Skip,Loss,train-acc,test-acc
0,0.0,1.5130440756082535,44.256,59.4
1,0.0,1.028319281578064,63.332,68.38
2,0.0,0.8152920908033848,71.214,75.58
3,0.0,0.6887272900044918,75.80799999999999,78.11
4,1.0,0.5915885453820229,79.44,79.94
5,0.0,0.5327364805042744,81.61,80.64
6,3.0,0.48098954631388185,83.298,82.59
7,8.0,0.43770207871496675,84.852,83.82
8,18.0,0.4032867998555303,86.128,83.89
9,18.0,0.373794448249042,87.112,85.2
10,31.0,0.3480500722229481,87.874,85.62
11,42.0,0.32257624311745164,88.848,86.3
12,59.0,0.305869352389127,89.5,86.41
13,72.0,0.2932435504831374,89.794,86.85
14,91.0,0.2712280159369111,90.52,85.83
15,125.0,0.25870797619223596,91.03999999999999,88.08
16,144.0,0.24611611183732748,91.294,88.09
17,153.0,0.2346823455542326,91.80199999999999,88.13
18,205.0,0.22288035689666869,92.25,87.56
19,215.0,0.21526192739233374,92.57,88.78
