,Skip,Loss,train-acc,test-acc
0,0.0,1.8787478457689286,31.180000000000003,44.11
1,0.0,1.7158771328628064,37.36,51.7
2,0.0,1.602601873119672,41.77333333333333,56.93
3,0.0,1.516762569412589,45.1075,56.44
4,0.0,1.4434519265413284,47.980000000000004,63.51
5,0.0,1.0275119723975659,64.22,67.46
6,0.0,0.9884024651572109,65.245,71.91
7,2.0,0.9577096576193969,66.43,72.76
8,7.0,0.9345460342485458,67.3275,75.23
9,11.0,0.9130245052263141,68.112,74.49
10,17.0,0.7549293185099959,73.9,76.43
11,29.0,0.752262660715729,74.21,76.49
12,44.0,0.7421018305122853,74.50666666666666,79.73
13,60.0,0.7299176515378057,74.7775,78.85
14,83.0,0.716364263381809,75.354,79.91
15,111.0,0.6273613495826721,78.67,79.66
16,140.0,0.6192717916890979,78.73,80.91
17,187.0,0.6165765613081554,78.87333333333333,81.52
18,231.0,0.614516534505412,78.85,79.94
19,269.0,0.6116421436103061,78.838,82.01
20,325.0,0.5544477091077715,81.03,80.64
21,382.0,0.5415703738359734,81.265,82.49
22,439.0,0.5385386493820697,81.41333333333334,83.97
23,484.0,0.5347477860287764,81.6225,82.8
24,547.0,0.5350004861153662,81.66,83.05
25,626.0,0.4774288489818573,83.28999999999999,85.34
26,691.0,0.4866132329609245,82.93,83.0
27,770.0,0.48451994863711295,83.14,84.82
28,871.0,0.4803803060590289,83.3875,85.39
29,953.0,0.47914004203379157,83.422,84.63
30,1061.0,0.4242848157323897,85.44,85.07
31,1176.0,0.4321894047521055,85.14500000000001,84.89
32,1270.0,0.4365459145649026,84.99333333333333,85.77
33,1370.0,0.43588492905395104,84.94,83.82
34,1499.0,0.4322023581329733,85.054,85.76
35,1606.0,0.404506269691512,85.8,86.17
36,1745.0,0.4050779986309353,86.0,86.35
37,1866.0,0.40165048159643385,86.13,86.6
38,2009.0,0.4008164529033238,86.1725,86.07
39,2162.0,0.3992498572095297,86.21600000000001,85.81
40,2310.0,0.3624335991051048,87.48,87.04
41,2458.0,0.36264495791960505,87.39,86.39
42,2618.0,0.3618634275331472,87.30333333333333,86.98
43,2757.0,0.3662860249534715,87.09750000000001,87.28
44,2934.0,0.36575601111035794,87.17,87.08
45,3116.0,0.34709615862369536,88.42,86.36
46,3293.0,0.3434637467879802,88.535,87.27
47,3503.0,0.34523141411257285,88.34,87.27
48,3679.0,0.34432417224231177,88.2725,87.67
49,3865.0,0.3464006221078336,88.12,87.52
50,4099.0,0.30641428296500817,89.57000000000001,86.1
51,4297.0,0.31880964379548093,89.17,87.28
52,4515.0,0.3203056553717858,88.98333333333333,88.21
53,4723.0,0.3210375190547784,88.9825,87.47
54,4929.0,0.32375799948764034,88.866,87.89
55,5164.0,0.28610071023460476,90.11,88.19
56,5403.0,0.2988167578948196,89.77000000000001,87.57
57,5629.0,0.3020996472703603,89.71333333333334,86.65
58,5867.0,0.30360013935819735,89.64,88.12
59,6102.0,0.3029281972946599,89.628,88.15
60,6348.0,0.2870831055473536,90.35,87.0
61,6595.0,0.2870009730192833,90.28500000000001,88.85
62,6828.0,0.28797559440958626,90.18666666666667,88.27
63,7086.0,0.2884037405090639,90.155,88.81
64,7343.0,0.28721759083527143,90.23,88.56
65,7613.0,0.2708007192048244,90.59,88.45
66,7895.0,0.2690717944977805,90.85499999999999,88.11
67,8144.0,0.2735642304092956,90.68,89.04
68,8411.0,0.27162934910459446,90.705,87.78
69,8667.0,0.27109920720420777,90.73400000000001,88.75
70,8975.0,0.23832863459270448,91.74,89.06
71,9245.0,0.2467716634266544,91.47999999999999,88.33
72,9538.0,0.2505187686332501,91.33,88.79
73,9815.0,0.252970635428559,91.2225,88.51
74,10082.0,0.25397336494023914,91.206,88.93
75,10396.0,0.22569791342597456,92.11,89.64
76,10695.0,0.23148181274638047,91.995,89.63
77,10998.0,0.23247013167563516,92.01666666666667,88.53
78,11308.0,0.23653574559342816,91.8425,89.15
79,11632.0,0.2407538260297384,91.712,88.61
80,11953.0,0.23719952301238664,91.67999999999999,89.79
81,12261.0,0.236406717108679,91.655,89.82
82,12599.0,0.23449460874288344,91.81333333333333,89.4
83,12917.0,0.23443710314889904,91.8625,89.28
84,13216.0,0.23623813560614362,91.79,89.82
85,13551.0,0.20525873152026908,93.30000000000001,89.54
86,13877.0,0.21569160820473918,92.745,89.11
87,14213.0,0.21790437078933853,92.59666666666668,88.99
88,14540.0,0.21930910857912386,92.51,89.56
89,14864.0,0.22244349526609294,92.374,89.77
90,15217.0,0.21150901653897017,92.86999999999999,89.59
91,15572.0,0.212185312633228,92.61,89.49
92,15922.0,0.21320359909918624,92.63333333333334,89.71
93,16245.0,0.21448943658659117,92.53,89.36
