,Skip,Loss,train-acc,test-acc
0,0.0,3.7194019733428956,13.242,53.42
1,0.0,2.9654604413986205,25.984,66.7
2,0.0,2.5377613624572755,34.510000000000005,74.8
3,2.0,2.2573059118032455,40.666000000000004,78.17
4,5.0,2.0449407542943954,45.226,81.63
5,20.0,1.8866644435465336,48.846000000000004,83.34
6,59.0,1.7621482003152371,51.902,84.8
7,81.0,1.6510864457786083,54.63,85.95
8,131.0,1.5574501010417938,56.910000000000004,86.5
9,167.0,1.486050347211957,58.324,86.74
10,245.0,1.4160172309339047,60.226,88.08
11,306.0,1.3521589510709047,61.919999999999995,87.84
12,346.0,1.299683773884177,62.894000000000005,88.5
13,389.0,1.2488259963065387,64.05199999999999,88.44
14,480.0,1.1990009581878782,65.27,89.38
15,567.0,1.1513705917775632,66.80199999999999,89.44
16,646.0,1.1141620066136122,67.538,89.73
17,689.0,1.0754660178497433,68.678,89.51
18,726.0,1.030378785701096,69.67999999999999,90.11
19,851.0,1.0011558733783663,70.256,90.0
20,878.0,0.9721198311179876,71.292,90.24
21,935.0,0.937289534792304,72.1,90.36
22,1001.0,0.9073603260353208,72.906,89.93
23,1009.0,0.8820364207163454,73.798,90.78
24,1032.0,0.8583364549472928,74.16,90.62
25,1074.0,0.8294747893840074,75.14999999999999,90.99
26,1157.0,0.7933070277839899,76.044,90.65
27,1173.0,0.7732420335389674,76.536,90.71
28,1286.0,0.7556378626987338,76.964,90.72
29,1331.0,0.7392945446711033,77.336,90.17
30,420.0,0.6338935419283808,80.742,91.82
31,2349.0,0.516710152970627,84.422,91.85
32,2357.0,0.4838215917188674,85.55,92.16
33,2343.0,0.4671430858235806,86.158,92.37
34,2346.0,0.44781925290487706,86.524,92.17
35,2371.0,0.43275756591670217,87.194,92.18
36,2341.0,0.42849127556085587,87.37,92.11
37,2294.0,0.4135995769761503,87.914,92.12
38,2318.0,0.40503347397390754,88.044,92.18
39,2364.0,0.39233364648595453,88.592,92.22
40,2338.0,0.3883374081946909,88.604,92.52
41,2339.0,0.3797738598607481,88.832,92.35
42,2302.0,0.3705055183550343,89.044,92.22
43,2285.0,0.36546024988312276,89.24,92.26
44,2247.0,0.3595158901212737,89.378,92.34
45,2270.0,0.34964570658830924,89.782,92.5
46,2250.0,0.3477498690102249,89.762,92.26
47,2241.0,0.3399069647157565,89.934,92.29
48,2285.0,0.32981837154701354,90.318,92.13
49,2237.0,0.3312052418142557,90.166,92.29
