,Loss,train-acc,test-acc,commd_round
0,0.7299734835202495,81.92666666666668,90.21000000000001,52096000.0
1,0.33186518056939046,90.53666666666666,91.95,104192000.0
2,0.28208188464244205,91.99666666666667,92.80000000000001,156288000.0
3,0.25053539051363866,92.88833333333332,93.41000000000001,208384000.0
4,0.22634238961773614,93.62333333333333,93.97,260480000.0
5,0.20634502787453432,94.18666666666667,94.53,312576000.0
6,0.18926163224503398,94.685,94.82000000000001,364672000.0
7,0.17500108037143947,95.08833333333332,95.15,416768000.0
8,0.16262940329965203,95.45166666666667,95.37,468864000.0
9,0.1516695552552119,95.74666666666667,95.66,520960000.0
10,0.14230235605500638,96.015,95.87,573056000.0
11,0.13391043252156426,96.27,96.19,625152000.0
12,0.12643742830337334,96.53,96.34,677248000.0
13,0.11970082772895693,96.705,96.52,729344000.0
14,0.11362193637760357,96.94500000000001,96.59,781440000.0
15,0.10809781380696222,97.085,96.71,833536000.0
16,0.10316073421233644,97.22833333333334,96.92,885632000.0
17,0.09858008662626769,97.38833333333334,96.94,937728000.0
18,0.09424437132741635,97.50333333333333,97.00999999999999,989824000.0
19,0.09024612060980872,97.565,97.08,1041920000.0
20,,,,1094016000.0
21,,,,1146112000.0
22,,,,1198208000.0
23,,,,1250304000.0
24,,,,1302400000.0
25,,,,1354496000.0
26,,,,1406592000.0
27,,,,1458688000.0
28,,,,1510784000.0
29,,,,1562880000.0
30,,,,1614976000.0
31,,,,1667072000.0
32,,,,1719168000.0
33,,,,1771264000.0
34,,,,1823360000.0
35,,,,1875456000.0
36,,,,1927552000.0
37,,,,1979648000.0
38,,,,2031744000.0
39,,,,2083840000.0
40,,,,2135936000.0
41,,,,2188032000.0
42,,,,2240128000.0
43,,,,2292224000.0
44,,,,2344320000.0
45,,,,2396416000.0
46,,,,2448512000.0
47,,,,2500608000.0
48,,,,2552704000.0
49,,,,2604800000.0
50,,,,2656896000.0
51,,,,2708992000.0
52,,,,2761088000.0
53,,,,2813184000.0
54,,,,2865280000.0
55,,,,2917376000.0
56,,,,2969472000.0
