,Loss,train-acc,test-acc
0,4.3139889535903935,5.33,28.49
1,4.101775598049164,7.75,37.93
2,3.94685791460673,9.976666666666667,45.23
3,3.8274289091825486,11.6975,49.66
4,3.730389181852341,13.089999999999998,53.8
5,3.170253100633621,22.63,57.2
6,3.131819562792778,23.225,60.63
7,3.073875576297442,24.166666666666668,62.99
8,3.020694385886192,25.162499999999998,65.64
9,2.97346599919796,25.95,67.5
10,2.6470289788246153,32.519999999999996,69.0
11,2.6428442393541336,32.574999999999996,70.53
12,2.616871140241623,32.96,71.69
13,2.5805513307452204,33.675,72.3
14,2.55122892973423,34.43,74.8
15,2.2848778321146965,40.25,76.22
16,2.2917485333383083,40.015,76.19
17,2.2730077121456462,40.39,77.74
18,2.2666507148742676,40.345,76.96
19,2.245502680134773,40.898,78.68
20,2.0517588493824004,45.2,79.87
21,2.0649412843883037,44.7,79.45
22,2.065618349870046,44.67666666666666,80.03
23,2.053909579232335,44.89,81.22
24,2.041244340181351,45.156,81.71
25,1.9224625355005265,47.69,81.48
26,1.9155009362995625,48.0,82.0
27,1.9003604760567347,48.35333333333333,82.5
28,1.898943994536996,48.512499999999996,81.67
29,1.892056137907505,48.628,82.45
30,1.7887625858187675,50.93,83.53
31,1.7659547136723994,51.68000000000001,83.14
32,1.7670625488559406,51.66,83.28
33,1.7647278336435557,51.644999999999996,84.22
34,1.7638384576559067,51.593999999999994,84.49
35,1.6428353295624256,54.53,84.44
36,1.656435973212123,54.300000000000004,84.82
37,1.6512453579554955,54.64,84.87
38,1.6471819009743631,54.7,85.53
39,1.6471467539399862,54.7,85.51
40,1.5379355479478836,56.940000000000005,85.83
41,1.556654942855239,56.699999999999996,86.04
42,1.5627842994232972,56.42333333333334,86.41
43,1.5656554415300488,56.385,85.63
44,1.5640739872813225,56.477999999999994,86.04
45,1.4521062118113042,59.35,86.57
46,1.4575551385581493,59.27,86.82
47,1.4596976169844469,59.093333333333334,86.45
48,1.4672011049240827,58.91499999999999,86.98
49,1.468056366109848,58.91,86.7
50,1.3514812804162502,61.260000000000005,87.46
51,1.364333820939064,61.309999999999995,87.19
52,1.3796721326957146,61.040000000000006,87.61
53,1.3909975526370109,60.7475,87.72
54,1.4009527512669564,60.482,87.55
55,1.3287231531739234,62.46000000000001,87.61
