,Skip,Loss,train-acc,test-acc,commd_round
0,44.0,0.875081934183836,71.175,75.77000000000001,
1,15.0,0.5913301760951678,79.88499999999999,80.55,
2,14.0,0.5235491132984559,81.965,81.19,
3,18.0,0.49123390622437,82.83500000000001,80.63,
4,20.0,0.46954060761878885,83.6,81.88,
5,13.0,0.4503783804923296,84.2,83.2,
6,17.0,0.43643640880783396,84.66,83.7,
7,7.0,0.42564879115670917,84.98333333333333,83.71,
8,14.0,0.41825080135216314,85.12166666666666,84.05,
9,23.0,0.40973108532528085,85.53833333333334,84.19,
10,11.0,0.4052677830805381,85.64,84.13000000000001,
11,21.0,0.39954552590847014,85.76166666666667,83.85000000000001,
12,17.0,0.3968047631159425,85.88,83.69,
13,15.0,0.39006716787815093,86.14,83.33,
14,16.0,0.3855213606605927,86.32,84.58,
15,20.0,0.3846220755701264,86.245,84.06,
16,5.0,0.3785601419707139,86.64333333333335,84.42,
17,14.0,0.37717041621605557,86.61666666666666,84.47,
18,13.0,0.3745831748843193,86.68,84.88,
19,22.0,0.3746604543241362,86.70666666666666,85.0,
