,Skip,Loss,train-acc,test-acc,commd_round
0,194.0,268.39186622679233,54.37,86.26,26829440.0
1,454.0,168.56135763009078,70.9275,89.72,45063040.0
2,736.0,128.26944218901917,77.34,91.07,60431360.0
3,1019.0,37.94850705915305,91.425,91.64,75669440.0
4,1321.0,34.168522707238736,91.7025,91.79,88432960.0
5,1609.0,32.188466908812984,91.855,92.21000000000001,103019840.0
6,1893.0,22.096828118407544,92.985,92.33,118127680.0
7,2195.0,21.059062817317336,93.15,93.14,130891200.0
8,2492.0,20.293620189471028,93.12166666666667,93.45,144305920.0
9,2800.0,16.049716453783752,93.985,93.30000000000001,156288000.0
10,3103.0,14.415826670604465,94.1275,93.92,168921280.0
11,3423.0,14.072965330202251,94.22833333333334,93.95,179340480.0
12,3727.0,12.186267191996569,94.62,94.02000000000001,191843520.0
13,4039.0,11.433056279759846,94.74000000000001,94.06,203304640.0
14,4353.0,11.315473050002606,94.76166666666667,94.12,214505280.0
15,4671.0,9.074687962442685,95.13000000000001,93.92,225184960.0
16,4982.0,8.876072322065971,95.1875,93.97,236776320.0
17,5290.0,8.920809818661029,95.215,94.33,248758400.0
18,5608.0,8.15249687013285,95.64,94.28999999999999,259438080.0
19,5925.0,7.979200323095817,95.67,94.38,270248000.0
20,6244.0,7.782607001929857,95.62333333333333,94.51,280797440.0
21,6558.0,6.924353030332599,96.00999999999999,94.73,291998080.0
22,6879.0,6.464333414186748,96.1075,94.77,302287040.0
23,7203.0,6.679671038075917,96.04333333333334,94.67,312185280.0
24,7516.0,5.8389009225107396,96.375,94.64,323516160.0
25,7835.0,6.12225098556559,96.155,94.83,334065600.0
26,8147.0,6.0453919424072255,96.10333333333332,94.93,345526720.0
27,8465.0,5.166955697396499,96.5,94.83,356206400.0
28,8788.0,5.27458588977968,96.5025,95.05,366234880.0
29,9109.0,5.292145343590275,96.46666666666667,95.00999999999999,376523840.0
30,9424.0,4.8856592771973295,96.6,94.76,387594240.0
31,9750.0,4.806755543146384,96.5875,94.76,397232000.0
32,10081.0,4.759862083920678,96.67333333333333,94.91000000000001,406218560.0
33,10411.0,4.0823516183484525,96.955,94.99,415335360.0
34,10736.0,4.146087235782244,96.9825,95.26,425103360.0
35,11061.0,4.164991108173526,96.98833333333333,95.36,434871360.0
36,11378.0,3.7199427451131624,97.27,95.33,445681280.0
37,11710.0,3.6333927583932963,97.19250000000001,95.13000000000001,454537600.0
38,12029.0,3.757043524376307,97.14166666666667,95.56,465087040.0
39,12360.0,3.3385761741358184,97.405,95.46,474073600.0
40,12693.0,3.4000436095792463,97.3925,95.75,482799680.0
41,13024.0,3.48968879473593,97.29333333333334,95.64,491786240.0
42,13354.0,3.350232162179261,97.41499999999999,95.36,500903040.0
43,13678.0,3.4654904352286824,97.3225,95.44,510801280.0
44,13996.0,3.264441356864723,97.375,95.76,521480960.0
45,14333.0,3.0634431166946046,97.595,95.38,529686080.0
46,14669.0,2.856873920620341,97.59,95.59,538021440.0
47,14998.0,2.8625327324522143,97.58833333333334,95.55,547268480.0
48,15326.0,2.756929366466653,97.625,95.63000000000001,556645760.0
49,15661.0,2.6320934320284572,97.69250000000001,95.46,565111360.0
50,16001.0,2.7421416373021374,97.68666666666667,95.50999999999999,572925760.0
51,16333.0,2.3516635525941596,97.875,95.77,581782080.0
52,16667.0,2.5541157237557637,97.8375,95.72,590377920.0
53,17005.0,2.624248403439746,97.745,95.52000000000001,598452800.0
54,17339.0,2.4528512656461148,97.78999999999999,95.30999999999999,607048640.0
55,17676.0,2.4595064334592296,97.80499999999999,95.59,615253760.0
56,18004.0,2.5063475115110716,97.73166666666665,95.45,624631040.0
57,18336.0,2.11094259314835,98.105,95.6,633487360.0
58,18671.0,2.052189104995018,98.0325,95.49,641952960.0
59,19003.0,2.2058379538361677,97.92833333333333,95.63000000000001,650809280.0
