,Skip,Loss,train-acc,test-acc,commd_round
0,889.0,1.6966618017056803,76.69833333333334,91.02,18754560.0
1,1010.0,0.4924670607052576,92.04,93.02,30476160.0
2,1042.0,0.3163503505227466,93.41833333333334,93.96,40504640.0
3,1048.0,0.23648695886484347,94.23166666666667,94.19,48579520.0
4,1045.0,0.19234650832271047,94.94,94.69,57175360.0
5,1050.0,0.16318058853270487,95.53666666666668,95.0,65250240.0
6,1043.0,0.14194976731785572,95.985,95.28,72673920.0
7,1047.0,0.12195955124606069,96.48166666666667,95.67,79576640.0
8,1044.0,0.11066443772346247,96.76666666666667,95.7,85828160.0
9,1047.0,0.10028421229876888,97.07833333333333,95.73,91688960.0
10,1059.0,0.08972013183772409,97.38166666666666,95.92,98331200.0
11,1048.0,0.08227259030429801,97.66833333333334,96.05,105624640.0
12,1051.0,0.07585660116300763,97.81666666666666,96.28,112136640.0
13,1052.0,0.07133100801428857,97.94333333333334,96.35000000000001,119299840.0
14,1055.0,0.0652639973013235,98.12166666666667,96.41999999999999,125811840.0
15,1051.0,0.06058523503054554,98.22666666666666,96.53,132454080.0
16,1052.0,0.05712567520822631,98.36666666666667,96.64,138575360.0
17,1053.0,0.05188347118770859,98.52833333333334,96.56,145347840.0
18,1054.0,0.04995104679973641,98.575,96.61,152771520.0
19,1059.0,0.046670505321235393,98.64333333333335,96.72,159544000.0
20,,,,,165795520.0
21,,,,,172047040.0
22,,,,,178949760.0
23,,,,,185722240.0
24,,,,,192104000.0
25,,,,,199006720.0
26,,,,,206039680.0
27,,,,,212942400.0
28,,,,,219714880.0
29,,,,,225966400.0
30,,,,,232087680.0
31,,,,,238078720.0
32,,,,,244330240.0
33,,,,,250972480.0
34,,,,,257354240.0
35,,,,,264126720.0
36,,,,,269987520.0
37,,,,,277150720.0
38,,,,,283532480.0
39,,,,,290565440.0
40,,,,,296165760.0
41,,,,,302808000.0
42,,,,,308929280.0
43,,,,,315441280.0
44,,,,,321692800.0
45,,,,,327814080.0
46,,,,,334586560.0
47,,,,,341098560.0
48,,,,,347350080.0
49,,,,,353210880.0
50,,,,,360374080.0
51,,,,,366234880.0
52,,,,,372877120.0
53,,,,,379519360.0
54,,,,,385380160.0
55,,,,,391240960.0
56,,,,,398534400.0
57,,,,,404525440.0
58,,,,,410256000.0
59,,,,,416898240.0
