,Skip,Loss,train-acc,test-acc,commd_round
0,736.0,128.26944218901917,77.34,91.07,26829440.0
1,873.0,32.188466908812984,91.855,92.21000000000001,45063040.0
2,883.0,20.293620189471028,93.12166666666667,93.45,60431360.0
3,931.0,14.072965330202251,94.22833333333334,93.95,75669440.0
4,930.0,11.315473050002606,94.76166666666667,94.12,88432960.0
5,937.0,8.920809818661029,95.215,94.33,103019840.0
6,954.0,7.782607001929857,95.62333333333333,94.51,118127680.0
7,959.0,6.679671038075917,96.04333333333334,94.67,130891200.0
8,944.0,6.0453919424072255,96.10333333333332,94.93,144305920.0
9,962.0,5.292145343590275,96.46666666666667,95.00999999999999,156288000.0
10,972.0,4.759862083920678,96.67333333333333,94.91000000000001,168921280.0
11,980.0,4.164991108173526,96.98833333333333,95.36,179340480.0
12,968.0,3.757043524376307,97.14166666666667,95.56,191843520.0
13,995.0,3.48968879473593,97.29333333333334,95.64,203304640.0
14,972.0,3.264441356864723,97.375,95.76,214505280.0
15,1002.0,2.8625327324522143,97.58833333333334,95.55,225184960.0
16,1003.0,2.7421416373021374,97.68666666666667,95.50999999999999,236776320.0
17,1004.0,2.624248403439746,97.745,95.52000000000001,248758400.0
18,999.0,2.5063475115110716,97.73166666666665,95.45,259438080.0
19,999.0,2.2058379538361677,97.92833333333333,95.63000000000001,270248000.0
20,,,,,280797440.0
21,,,,,291998080.0
22,,,,,302287040.0
23,,,,,312185280.0
24,,,,,323516160.0
25,,,,,334065600.0
26,,,,,345526720.0
27,,,,,356206400.0
28,,,,,366234880.0
29,,,,,376523840.0
30,,,,,387594240.0
31,,,,,397232000.0
32,,,,,406218560.0
33,,,,,415335360.0
34,,,,,425103360.0
35,,,,,434871360.0
36,,,,,445681280.0
37,,,,,454537600.0
38,,,,,465087040.0
39,,,,,474073600.0
40,,,,,482799680.0
41,,,,,491786240.0
42,,,,,500903040.0
43,,,,,510801280.0
44,,,,,521480960.0
45,,,,,529686080.0
46,,,,,538021440.0
47,,,,,547268480.0
48,,,,,556645760.0
49,,,,,565111360.0
50,,,,,572925760.0
51,,,,,581782080.0
52,,,,,590377920.0
53,,,,,598452800.0
54,,,,,607048640.0
55,,,,,615253760.0
56,,,,,624631040.0
57,,,,,633487360.0
58,,,,,641952960.0
59,,,,,650809280.0
