,Skip,Loss,train-acc,test-acc,commd_round
0,949.0,0.6411364896843831,82.55666666666667,90.78,13154240.0
1,978.0,0.29376143593341114,91.48833333333334,93.02,23052480.0
2,967.0,0.22152203355915845,93.51833333333333,94.34,32690240.0
3,994.0,0.18109192629655202,94.74666666666667,95.00999999999999,42848960.0
4,1000.0,0.15354629509616644,95.56166666666667,95.84,52616960.0
5,1016.0,0.13275034183325868,96.17166666666667,96.06,61603520.0
6,1026.0,0.11911959211419647,96.66333333333334,96.45,72413440.0
7,1033.0,0.1045496348105371,97.05333333333334,96.83,82051200.0
8,1022.0,0.09698844180209562,97.31166666666667,96.98,91949440.0
9,1021.0,0.08787835691589863,97.55,97.09,100154560.0
10,1023.0,0.08136440473375842,97.82333333333332,97.31,109922560.0
11,1040.0,0.07229538693403205,98.02499999999999,97.49,118778880.0
12,1034.0,0.06945285660369943,98.105,97.19,128025920.0
13,1037.0,0.0638928156058925,98.24833333333333,97.13000000000001,136882240.0
14,1032.0,0.05915791646965469,98.40666666666667,97.61,144826880.0
15,1047.0,0.05455784461422202,98.59166666666667,97.45,152901760.0
16,1036.0,0.05160524499719031,98.63,97.47,160716160.0
17,1038.0,0.04851728908795243,98.72,97.65,168791040.0
18,1056.0,0.044921520136801216,98.84666666666668,97.66,176865920.0
19,1035.0,0.04375500022705334,98.90666666666667,97.96000000000001,184289600.0
20,,,,,191452800.0
21,,,,,198616000.0
22,,,,,205258240.0
23,,,,,213202880.0
24,,,,,220105600.0
25,,,,,227920000.0
26,,,,,236385600.0
27,,,,,244330240.0
