,Skip,Loss,train-acc,test-acc
0,0.0,1.4540389097988606,47.72,62.81
1,17.0,0.925006940445304,67.80199999999999,73.92
2,119.0,0.7326178164288402,74.842,79.72
3,286.0,0.6275052103873342,78.392,81.0
4,460.0,0.5525765502788127,81.022,83.3
5,645.0,0.49872882058881224,82.938,84.04
6,774.0,0.4545934769226238,84.24000000000001,84.07
7,976.0,0.41938050537630917,85.576,86.05
8,1058.0,0.38838579645268617,86.59599999999999,85.93
9,1278.0,0.37115904621686785,87.194,86.25
10,1339.0,0.3484152504312806,87.956,87.74
11,1526.0,0.3248603260439821,88.824,88.07
12,1648.0,0.3109817309052683,89.37,87.86
13,1709.0,0.2925612600047607,89.942,88.29
14,1778.0,0.2789792554143816,90.362,88.66
15,1867.0,0.2632173526542727,90.814,87.97
16,1945.0,0.25659101569009946,91.176,88.12
17,2044.0,0.2449689620873658,91.584,89.22
18,2087.0,0.23237167202210984,91.94600000000001,89.04
19,2224.0,0.2337393392535392,91.852,89.0
20,1559.0,0.192184185599559,93.4,90.76
21,3170.0,0.152428238232038,95.02000000000001,91.38
22,3240.0,0.13936490218543912,95.48400000000001,91.08
23,3227.0,0.13030878353631123,95.736,91.5
24,3284.0,0.12239007147197845,96.14399999999999,91.36
25,3226.0,0.11850011062626727,96.234,91.71
26,3209.0,0.1128297421997413,96.356,91.82
27,3242.0,0.10989558037118986,96.588,91.73
28,3224.0,0.10315619730473845,96.81,91.49
29,3216.0,0.09998330004526651,96.882,91.49
