,Skip,Loss,train-acc,test-acc
0,4.0,1.4763499975204468,46.086,59.54
1,95.0,0.969278828382492,65.41,71.77
2,378.0,0.7888792855739594,72.37599999999999,74.09
3,557.0,0.7189029471874238,75.012,76.89
4,610.0,0.6640338253676892,76.88000000000001,78.94
5,649.0,0.6177298637628555,78.52,79.63
6,669.0,0.5893456330448389,79.532,78.74
7,709.0,0.571946076348424,79.97,78.69
8,744.0,0.5609464215040207,80.586,80.83
9,759.0,0.5260446893125772,81.798,82.47
10,756.0,0.5159937741309404,82.194,81.17
11,780.0,0.5022085174620151,82.808,80.92
12,781.0,0.48899057434499266,83.12,82.58
13,793.0,0.4686566122472286,83.756,82.1
14,797.0,0.4601163347810507,84.014,84.13
15,816.0,0.44973633320629597,84.454,83.98
16,811.0,0.44764605201780794,84.48,83.29
17,808.0,0.43018966853618623,85.2,84.92
18,826.0,0.42652181719243526,85.24000000000001,84.44
19,840.0,0.42831377701461315,85.22,83.95
