,Skip,Loss,train-acc,test-acc
0,0.0,1.900131844997406,31.0,42.45
1,0.0,1.7374316746592522,36.985,51.4
2,0.0,1.6192299340764682,41.33,56.22
3,0.0,1.5283795444518327,44.847500000000004,57.7
4,0.0,1.4540389097988606,47.72,62.81
5,0.0,1.0406148442626,63.68000000000001,68.23
6,2.0,1.002251143246889,64.85,70.46
7,5.0,0.9695673544257879,66.10333333333334,71.8
8,9.0,0.9456345615647733,67.04,74.41
9,17.0,0.925006940445304,67.80199999999999,73.92
10,30.0,0.7708653231859207,73.26,75.35
11,53.0,0.7658567414321006,73.7,74.91
12,76.0,0.7531127025832732,74.13,79.0
13,97.0,0.7438723945282399,74.405,78.07
14,136.0,0.7326178164288402,74.842,79.72
15,176.0,0.6469614460133016,77.82,79.39
16,228.0,0.6384411936346441,77.86,80.7
17,277.0,0.6351805586305758,78.02333333333334,81.64
18,360.0,0.6301346777407453,78.305,78.86
19,422.0,0.6275052103873342,78.392,81.0
20,528.0,0.5704776593521237,80.5,81.13
21,619.0,0.557191024325788,80.92,81.79
22,697.0,0.555979098688811,80.99666666666666,82.71
23,783.0,0.5531986223394051,81.04,81.97
24,882.0,0.5525765502788127,81.022,83.3
25,996.0,0.5019386425483972,82.96,84.09
26,1108.0,0.5070885570636019,82.78,82.49
27,1225.0,0.5033835069245348,82.80666666666666,84.42
28,1377.0,0.5015397456651554,82.8425,84.7
29,1527.0,0.49872882058881224,82.938,84.04
30,1674.0,0.4473491989634931,84.27,84.25
31,1848.0,0.4567457656506449,84.13000000000001,84.28
32,1990.0,0.4619981774948537,84.05333333333334,84.73
33,2130.0,0.45961935694073325,84.075,84.41
34,2301.0,0.4545934769226238,84.24000000000001,84.07
35,2460.0,0.4301615619007498,84.89999999999999,86.18
36,2662.0,0.4261516072079539,85.14,85.74
37,2853.0,0.42218133999345203,85.37666666666667,86.37
38,3061.0,0.42152234400250016,85.4275,85.94
39,3277.0,0.41938050537630917,85.576,86.05
40,3494.0,0.3825266766045243,87.21,86.39
41,3691.0,0.3820499435570091,86.945,86.21
42,3891.0,0.38217764915712177,86.85000000000001,85.92
43,4104.0,0.3882639425727539,86.58749999999999,86.97
44,4335.0,0.38838579645268617,86.59599999999999,85.93
45,4575.0,0.37128138017747553,87.13,86.59
46,4835.0,0.3661439349106513,87.44,86.06
47,5077.0,0.3675909091631571,87.41666666666667,87.14
48,5337.0,0.3679332551895641,87.345,86.54
49,5613.0,0.37115904621686785,87.194,86.25
50,5888.0,0.3468441469240934,88.18,86.37
51,6159.0,0.3481122485990636,87.91499999999999,86.75
52,6428.0,0.3500296487651455,87.86,86.8
53,6688.0,0.3454298616758315,88.03999999999999,87.38
54,6952.0,0.3484152504312806,87.956,87.74
55,7271.0,0.31269897349271925,88.97,86.51
56,7569.0,0.3218299183784984,88.85499999999999,87.44
57,7848.0,0.32354005724812546,88.88666666666667,87.79
58,8156.0,0.3237196824603016,88.8425,87.15
59,8478.0,0.3248603260439821,88.824,88.07
60,8806.0,0.3089018667601049,89.74,86.82
61,9124.0,0.31029261308466083,89.575,87.88
62,9456.0,0.3102785732015036,89.49000000000001,87.41
63,9791.0,0.3114376087129349,89.37,87.69
64,10126.0,0.3109817309052683,89.37,87.86
65,10461.0,0.2914963323539123,90.06,88.43
66,10820.0,0.2887429666362004,90.105,88.06
67,11148.0,0.29186259073989157,89.99000000000001,88.33
68,11487.0,0.2914387882270967,90.01249999999999,87.9
69,11835.0,0.2925612600047607,89.942,88.29
70,12200.0,0.26153777934610845,91.03,88.83
71,12563.0,0.270154996868223,90.64,87.77
72,12914.0,0.2765128077142872,90.38000000000001,88.31
73,13251.0,0.2791700056582922,90.3375,88.23
74,13613.0,0.2789792554143816,90.362,88.66
75,14004.0,0.25425103829521684,91.34,87.98
76,14353.0,0.25540544009371663,91.105,89.39
77,14721.0,0.2577881204000053,91.12333333333333,88.17
78,15096.0,0.26053612398158293,90.9025,88.64
79,15480.0,0.2632173526542727,90.814,87.97
80,15866.0,0.259597864032723,91.24,88.69
81,16267.0,0.2564663775090594,91.07,89.04
82,16648.0,0.2530962379442838,91.24333333333333,88.17
83,17028.0,0.2545493616971653,91.215,89.02
84,17425.0,0.25659101569009946,91.176,88.12
85,17857.0,0.23042887686239555,92.21000000000001,88.69
86,18244.0,0.23749264888372273,91.86,88.34
87,18658.0,0.23830875696629908,91.81666666666666,88.8
88,19086.0,0.24043956250377232,91.69500000000001,88.9
89,19469.0,0.2449689620873658,91.584,89.22
90,19910.0,0.2319093309585005,91.96,89.01
91,20327.0,0.22868469747749623,92.15,89.14
92,20747.0,0.2309657705926802,92.09666666666666,89.56
93,21141.0,0.23254552022504504,92.01,88.83
94,21556.0,0.23237167202210984,91.94600000000001,89.04
95,22012.0,0.2260638483753428,92.17999999999999,89.2
96,22454.0,0.2297767415610142,92.01,88.86
97,22879.0,0.23190785093357166,91.94666666666666,88.83
98,23342.0,0.2309140191350598,92.0,88.67
99,23780.0,0.2337393392535392,91.852,89.0
100,24354.0,0.2393253738391213,91.55,88.75
101,24726.0,0.2255547572840005,92.12,89.88
102,24916.0,0.2110390873067081,92.68666666666667,90.46
103,25122.0,0.19935981559730134,93.1425,90.82
104,25339.0,0.192184185599559,93.4,90.76
105,25967.0,0.1527733678102959,95.05,90.79
106,26595.0,0.15531079866364597,94.88,90.98
107,27223.0,0.15469692544747765,94.91333333333334,90.89
108,27871.0,0.15262433406279888,94.9975,91.04
109,28509.0,0.152428238232038,95.02000000000001,91.38
110,29162.0,0.14213936037011446,95.62,91.2
111,29802.0,0.14253535857971292,95.46,91.33
112,30451.0,0.13997007868803726,95.54666666666667,91.22
113,31094.0,0.140222540580231,95.505,91.32
114,31749.0,0.13936490218543912,95.48400000000001,91.08
115,32399.0,0.13068614664953201,95.72,91.13
116,33037.0,0.12982377033028752,95.82000000000001,91.29
117,33684.0,0.1303015439994245,95.76333333333334,91.46
118,34323.0,0.13068485416940528,95.71499999999999,91.72
119,34976.0,0.13030878353631123,95.736,91.5
120,35633.0,0.1272603166673798,95.99,91.54
121,36285.0,0.12370650984969689,96.10499999999999,91.34
122,36950.0,0.12169659346961029,96.17666666666666,91.28
123,37612.0,0.12140266350125603,96.1475,91.47
124,38260.0,0.12239007147197845,96.14399999999999,91.36
125,38890.0,0.12289363051287364,95.98,91.32
126,39562.0,0.12132763562898617,96.165,91.62
127,40212.0,0.11885737781467226,96.26,91.58
128,40862.0,0.11800757224473636,96.3,91.64
129,41486.0,0.11850011062626727,96.234,91.71
130,42147.0,0.1104818379667122,96.61999999999999,91.79
131,42797.0,0.10923087152271183,96.61999999999999,91.61
132,43429.0,0.11043966067952958,96.49,91.53
133,44050.0,0.11185734264274652,96.39999999999999,91.5
134,44695.0,0.1128297421997413,96.356,91.82
135,45364.0,0.10786778950918233,96.87,91.47
136,46007.0,0.1065428997996205,96.78,91.54
137,46655.0,0.10871023971763982,96.67,91.58
138,47302.0,0.10859790270830853,96.64500000000001,91.67
139,47937.0,0.10989558037118986,96.588,91.73
140,48570.0,0.10456222579305177,96.77,92.02
141,49207.0,0.1070109890751919,96.61999999999999,91.74
142,49854.0,0.10495122344785099,96.75,91.58
143,50515.0,0.10262773921760526,96.81,91.72
144,51161.0,0.10315619730473845,96.81,91.49
145,51802.0,0.0995979286644142,97.09,91.95
146,52440.0,0.1003380514383316,96.91,91.87
147,53084.0,0.1007874960633441,96.85000000000001,91.84
148,53713.0,0.10119471788175724,96.845,91.7
149,54377.0,0.09998330004526651,96.882,91.49
