,Skip,Loss,train-acc,test-acc
0,0.0,1.7422075399756431,35.66,48.18
1,0.0,1.5439915803819895,43.432500000000005,55.98
2,5.0,1.073457563817501,61.629999999999995,63.18
3,33.0,1.0150583869218825,63.61,67.42
4,99.0,0.969278828382492,65.41,71.77
5,222.0,0.8164360417425632,71.64,72.5
6,377.0,0.7965493085980415,72.06,73.19
7,585.0,0.737031831741333,74.29,74.7
8,801.0,0.7244966931144396,74.85000000000001,76.33
9,1034.0,0.7189029471874238,75.012,76.89
10,1279.0,0.6826243768632412,76.13,77.7
11,1516.0,0.6737961027398706,76.4825,78.61
12,1766.0,0.6386605316400528,77.86,78.53
13,2023.0,0.6205362454553445,78.45333333333333,77.6
14,2293.0,0.6177298637628555,78.52,79.63
15,2560.0,0.5895218578353524,79.31,79.62
16,2831.0,0.5870425277389586,79.5775,78.78
17,3104.0,0.5793970362842082,79.82000000000001,80.18
18,3386.0,0.5743514744192362,79.83333333333333,79.87
19,3671.0,0.571946076348424,79.97,78.69
20,3969.0,0.5398091954737901,81.50500000000001,80.93
21,4265.0,0.5595078987255693,80.6875,80.9
22,4562.0,0.5229057364165783,81.75,80.13
23,4866.0,0.5266642254094283,81.83,81.19
24,5174.0,0.5260446893125772,81.798,82.47
25,5479.0,0.507885727956891,82.53,81.78
26,5783.0,0.5118835079111159,82.35,81.31
27,6085.0,0.48869962669909,83.25,81.59
28,6396.0,0.4965597938001156,82.97666666666666,81.87
29,6710.0,0.5022085174620151,82.808,80.92
30,7022.0,0.5059463658556342,82.685,82.7
31,7335.0,0.4903125051036477,83.11,82.5
32,7648.0,0.4699488777667284,83.61,82.49
33,7970.0,0.46525442647437254,83.94666666666667,82.95
34,8284.0,0.4686566122472286,83.756,82.1
35,8604.0,0.45360564984381196,84.26,83.45
36,8918.0,0.4590779472887516,84.08,83.57
37,9245.0,0.44498155266046524,84.58,84.2
38,9571.0,0.4411129454771678,84.85333333333334,83.58
39,9897.0,0.44973633320629597,84.454,83.98
40,10216.0,0.4551729827746749,84.21499999999999,83.9
41,10543.0,0.4512979166209698,84.375,83.47
42,10872.0,0.4235504315793514,85.42,85.12
43,11195.0,0.4237462209413449,85.48,83.99
44,11516.0,0.43018966853618623,85.2,84.92
45,11848.0,0.41874269463121894,85.45,83.88
46,12177.0,0.42476904479786753,85.28,83.61
47,12510.0,0.42010692015290263,85.7,84.09
48,12840.0,0.4301519611229499,85.19333333333333,84.25
49,13182.0,0.42831377701461315,85.22,83.95
