,Skip,Loss,train-acc,test-acc
0,0.0,4.360010662317276,4.95,28.53
1,0.0,4.135738865494728,7.35,36.99
2,0.0,3.999587496519089,9.13,42.98
3,0.0,3.8766184949278832,10.915,48.76
4,0.0,3.784893064880371,12.266,52.01
5,0.0,3.2294195461273194,20.65,54.87
6,0.0,3.184897102177143,21.495,58.44
7,0.0,3.1247061539888383,22.793333333333333,60.55
8,0.0,3.08345485663414,23.4825,64.12
9,0.0,3.045763584804535,24.264,64.94
10,0.0,2.7259489706754683,30.64,67.2
11,1.0,2.7030105249881746,31.019999999999996,70.08
12,2.0,2.6712848247289656,31.803333333333335,70.34
13,2.0,2.643121251359582,32.285000000000004,71.08
14,4.0,2.613540109527111,32.9,73.7
15,7.0,2.385300932049751,37.69,74.85
16,9.0,2.3712880818545816,37.82,74.81
17,9.0,2.3479044306874277,38.413333333333334,75.94
18,9.0,2.3350851853638885,38.8625,76.18
19,13.0,2.3239350139021875,39.06,76.58
20,17.0,2.144028261125088,42.41,78.48
21,28.0,2.1474421811997892,42.795,78.53
22,37.0,2.1410000261664393,43.096666666666664,78.54
23,43.0,2.1198265867233275,43.66,78.82
24,65.0,2.111130484890938,43.852000000000004,80.56
25,94.0,1.981381910443306,46.96,80.1
26,110.0,1.9798143545389175,46.73,81.68
27,143.0,1.9717533610065778,46.73,81.48
28,169.0,1.9578285720646382,46.9875,82.46
29,205.0,1.9516620955467223,47.236,82.74
30,240.0,1.8140049519240855,50.17,82.28
31,278.0,1.822923782095313,50.11,82.66
32,325.0,1.8358199448088806,49.71333333333333,83.04
33,385.0,1.828925302363932,49.932500000000005,83.18
34,432.0,1.8255867712318896,50.174,83.8
35,507.0,1.7163035662472248,52.800000000000004,84.07
36,568.0,1.7089640872329475,53.144999999999996,84.07
37,639.0,1.7195550866723062,52.980000000000004,84.17
38,704.0,1.723759088858962,52.88,84.64
39,800.0,1.7217187042713165,52.83,84.7
40,914.0,1.6346153237521648,54.790000000000006,83.95
41,1002.0,1.6255428196936845,55.04,84.39
42,1109.0,1.6357219290335974,54.59333333333334,84.97
43,1213.0,1.632744720093906,54.707499999999996,85.39
44,1325.0,1.6365154538750648,54.664,85.7
45,1455.0,1.592501813352108,55.53,85.3
46,1576.0,1.5762748523801564,56.07,85.71
47,1701.0,1.562050857235988,56.48333333333333,85.78
48,1830.0,1.5626623807400466,56.30500000000001,86.12
49,1967.0,1.5657560973107816,56.37,85.91
50,2125.0,1.4935764645338059,57.74,85.86
51,2279.0,1.5019299075305461,57.525000000000006,86.53
52,2422.0,1.5066075001657009,57.376666666666665,86.11
53,2568.0,1.5003663966096938,57.705,87.08
54,2738.0,1.4997930453687907,57.728,86.7
55,2904.0,1.3762634070813655,61.45,87.02
56,3070.0,1.4130212690457702,60.475,86.81
57,3275.0,1.422809277455012,60.053333333333335,86.95
58,3441.0,1.4286618116647005,59.782500000000006,86.75
59,3645.0,1.4406561803340912,59.486000000000004,86.71
60,3875.0,1.3682812565267086,60.540000000000006,87.28
61,4112.0,1.3849762867987157,60.660000000000004,87.75
62,4322.0,1.3890384132266045,60.56,87.27
63,4546.0,1.3949265502169728,60.31999999999999,87.67
64,4761.0,1.4025488435804845,60.046,87.13
65,5009.0,1.3490313760638237,61.21,87.63
66,5249.0,1.3434482028931378,61.53999999999999,87.79
67,5477.0,1.344293778737386,61.75000000000001,87.84
68,5723.0,1.3570559021234512,61.419999999999995,87.38
69,5962.0,1.361572926157713,61.26200000000001,87.78
70,6258.0,1.2526948493272065,64.41,88.05
71,6523.0,1.2915861144289373,63.129999999999995,87.6
72,6807.0,1.311896441767613,62.53999999999999,87.53
73,7082.0,1.312661077901721,62.55,88.02
74,7398.0,1.31516618360281,62.407999999999994,88.24
75,7703.0,1.2640965034514666,63.82,88.23
76,7998.0,1.2629197239428758,63.77,88.87
77,8293.0,1.2617631601691246,63.70333333333333,88.43
78,8604.0,1.2720142367221414,63.4475,88.58
79,8928.0,1.2736188922852278,63.426,88.46
80,9268.0,1.1926933015882968,65.78,88.84
81,9581.0,1.2179258868992329,64.915,88.2
82,9888.0,1.2278636072923739,64.55666666666666,88.42
83,10218.0,1.2343074153773486,64.4125,88.51
84,10521.0,1.2400307214289903,64.252,89.16
85,10862.0,1.1642482343763112,66.41,88.91
86,11165.0,1.1808495177030562,66.045,88.99
87,11467.0,1.1918978327612082,65.65666666666667,89.12
88,11795.0,1.1932812723256647,65.5825,88.61
