,Skip,Loss,train-acc,test-acc
0,2005.0,4.074738860607147,8.244,38.42
1,3240.0,3.6839200716495513,13.522,46.2
2,3417.0,3.4453632127285005,17.254,50.36
3,3606.0,3.2663143549919127,20.578,54.46
4,3733.0,3.1088845522880555,23.47,59.85
5,3670.0,2.9276438030004504,27.112000000000002,64.21
6,3854.0,2.840570982837677,28.664,65.19
7,3995.0,2.7668516457796097,29.918,67.27
8,4049.0,2.6682479180336,31.916,67.67
9,4067.0,2.586914512562752,33.748,69.68
10,4120.0,2.523061244952679,35.099999999999994,71.37
11,4117.0,2.4228384252786634,37.230000000000004,71.69
12,4202.0,2.3972487280488015,37.586000000000006,73.33
13,4192.0,2.3388079944968223,38.879999999999995,73.9
14,4260.0,2.2960022450089457,39.614,75.11
15,4270.0,2.2533945293307305,40.717999999999996,75.65
16,4298.0,2.202953344154358,41.97,76.44
17,4308.0,2.160208861005306,42.83,77.13
18,4302.0,2.121360828721523,43.496,77.99
19,4352.0,2.1022539899706842,44.124,77.89
20,4378.0,2.0771309135198592,44.532,78.37
21,4359.0,2.029210990560055,45.406,79.36
22,4406.0,2.0006409659564497,46.314,79.77
23,4378.0,1.9854148966908456,46.724,79.94
24,4384.0,1.951155027115345,47.452,80.92
25,4409.0,1.9251541450977325,47.961999999999996,81.22
26,4430.0,1.9032204394638539,48.51,80.38
27,4460.0,1.908087695813179,48.58,80.63
28,4441.0,1.8912598613619804,48.918,80.95
29,4438.0,1.8650769176959991,49.494,81.93
30,4531.0,2.0255603992164133,45.83,79.84
31,4544.0,1.9079606137752534,48.870000000000005,81.23
32,4548.0,1.8163528024971485,51.074,82.5
33,4543.0,1.7408371257185935,52.796,83.54
34,4524.0,1.6577622570157051,54.666000000000004,84.12
35,4503.0,1.6252022391498089,55.388000000000005,84.5
36,4485.0,1.6006813759326934,56.25599999999999,85.28
37,4495.0,1.5647319857269526,57.05,85.4
38,4471.0,1.551311346101761,57.464000000000006,85.46
39,4478.0,1.5293696041464806,57.843999999999994,85.73
40,4486.0,1.5163478255987168,58.028,85.49
41,4459.0,1.5056151521384715,58.416000000000004,86.02
42,4486.0,1.4926599938869476,58.696000000000005,85.87
43,4475.0,1.4787273727357388,58.940000000000005,86.28
44,4467.0,1.4731485113978386,58.986000000000004,86.29
45,4470.0,1.459223343515396,59.852000000000004,86.44
46,4473.0,1.4545360034883021,59.678,86.39
47,4468.0,1.435736242967844,59.955999999999996,86.61
48,4482.0,1.4282115515828133,60.194,86.68
49,4452.0,1.4239019327759743,60.236000000000004,86.71
